0.0789	0.358
0.24	0.341
0.41	0.307
0.94	0.331
1.6	0.355
2.12	0.333
2.98	0.338
3.02	0.361
3.03	0.356
3.05	0.343
3.05	0.341
3.05	0.361
3.07	0.343
4.05	0.354
3.46	0.389
4.07	0.365
4.13	0.336
4.15	0.345
4.18	0.327
4.5	0.374
4.71	0.354
4.71	0.363
5.28	0.367
6.23	0.365
6.78	0.376
7.7	0.347
8.26	0.357
9.64	0.363
9.64	0.364
11.45	0.337
11.45	0.351
14.73	0.346
15.4	0.329
17.15	0.337
18.68	0.306
19.67	0.341
19.67	0.336
21.47	0.324
22.72	0.353
23.05	0.350
25.81	0.334
26.88	0.354
27.49	0.340
27.49	0.355
30.9	0.362
32.17	0.378
32.17	0.370
32.49	0.407
32.99	0.373
32.99	0.377
33.02	0.382
33.05	0.371
33.38	0.378
33.85	0.399
34.06	0.403
34.17	0.399
34.73	0.395
34.88	0.395
