0	-0.15	-987	0.38
0.24	-0.195	0.709164	0.34
0.41	-0.229	0.70913	0.3
0.94	-0.205	0.709127	0.33
1.6	-0.181	0.709076	0.35
2.12	-0.203	0.709044	0.33
3.02	-0.175	0.709058	0.36
3.46	-0.147	0.709049	0.38
4.07	-0.171	0.709042	0.36
4.5	-0.162	0.708979	0.37
4.71	-0.182	0.708992	0.35
4.71	-0.173	0.708977	0.36
5.28	-0.169	0.709022	0.36
6.23	-0.171	0.708963	0.36
6.78	-0.16	0.708934	0.37
7.7	-0.189	0.708928	0.34
8.26	-0.179	0.708969	0.35
9.64	-0.173	0.70888	0.36
9.64	-0.172	0.708882	0.36
11.45	-0.199	0.708853	0.33
11.45	-0.185	0.708846	0.35
14.73	-0.19	0.708817	0.34
15.4	-0.207	0.708814	0.32
17.15	-0.199	0.708569	0.33
18.68	-0.23	0.708482	0.3
19.67	-0.195	0.70838	0.34
19.67	-0.2	0.708394	0.33
21.47	-0.212	0.708313	0.32
22.72	-0.183	0.708182	0.35
23.05	-0.186	0.708183	0.34
25.81	-0.202	0.708071	0.33
26.88	-0.182	0.708036	0.35
27.49	-0.196	0.70801	0.33
27.49	-0.181	0.708026	0.35
30.9	-0.174	0.707955	0.36
32.17	-0.158	0.707907	0.37
32.17	-0.166	0.707909	0.36
32.49	-0.129	0.707868	0.4
32.99	-0.163	0.707848	0.37
32.99	-0.159	0.70785	0.37
33.02	-0.154	0.707852	0.38
33.05	-0.165	0.70786	0.37
33.38	-0.158	0.707831	0.37
33.85	-0.137	0.707836	0.39
34.06	-0.133	0.707847	0.4
34.17	-0.137	0.707839	0.39
34.73	-0.141	0.707849	0.39
34.88	-0.141	0.707843	0.39
