Site	Age	Oumbo	Cprae	Numbo	Ntrump	Cgrims	Cwuel	Cmundu	Gbecc
690	62.7				0.85				
690	63.35								1.2
690	63.63								1.23
690	64.16				0.9				
690									1.31
690	64.5				0.87				
690	64.66				0.92				
690	64.9				0.93				
690	64.9				0.91				
690	65.08				1.02				1.48
690	65.24				0.96				
690	65.41				0.95				
690	65.41				0.94				
690	65.68				0.98				
690	65.86				0.95				1.39
690	66.55				1.07				1.42
690	66.89				0.94				
690	67.25				0.95				1.4
690	67.82				0.93				1.43
690	67.82				0.97				
690	68.08				0.92				1.43
690	68.18				0.99				1.4
690	68.28				0.94				
690	68.39				1.07				1.46
690	68.71				1.06				1.42
690	68.95				1.01				1.38
690	69.28				0.92				
690	69.59				0.92				
690	69.92				0.93				1.4
690	70.67								1.57
690	70.99								1.52
690	71.38								1.95
690	71.56				1.16				1.67
690	71.74								1.93
690	72								1.65
690	72.17								1.59
690	72.35								1.88
690	72.53								1.57
690	72.71								1.51
690	73.14								1.62
690	73.31								1.6
690	73.49				1.2				
690	73.56								1.64
690	73.74								1.49
690	73.81								1.56
690	73.95								1.55
926	5.199	0.81					1.15	1.06	
926	5.3	0.79					1.1	1.01	
926	5.399	0.78							
926	7.4	0.78					1.06	0.97	
926	7.6	0.82					1.1	1.03	
926	8.001	0.81						1.07	
926	8.102	0.82					1.1	1	
926	9	0.86					1.14	1.06	
926	9.113	0.83					1.19	1.02	
926	9.204						1.18	1.13	
926	9.8	0.82					1.13		
926	9.999	0.86					1.15	1.01	
926	10.608	0.86					1.15	1.07	
926	10.798	0.89					1.11		
926	11.428	0.81					1.15	1.07	
926	11.652	0.87					1.12	1.11	
926	11.804	0.85					1.18	1.07	
926	13.023	0.95					1.25	1.18	
926	13.188	0.94					1.17		
926	5.004	0.87		0.8					
926	5.803	0.83					1.16	1.05	
926	5.903	0.8		0.74			1.11		
926	6.302			0.68					
926	6.302	0.81		0.67			1.15	1.01	
926	6.401	0.78		0.64			1.08		
926	6.499	0.78					1.13	0.99	
926	6.602	0.83		0.68			1.11		
926	6.802	0.79		0.63			1.06		
926	6.905	0.81		0.67			1.11		
926	7.003	0.81							
926	7.104	0.79					1.09		
926	7.211	0.82		0.66			1.11		
926	7.304	0.79		0.62			1.04	0.94	
926	7.689	0.85		0.69					
926	7.8	0.86		0.71			1.16		
926	7.9	0.82		0.75					
926	8.202	0.84		0.68				1.02	
926	8.703	0.87						1.07	
926	8.798	0.8		0.69				1.03	
926	8.903	0.85		0.72				1.05	
926	9.399	0.89		1.02				1.06	
926	9.603	0.88		0.82			1.12	1.08	
926	10.212	0.86		0.74			1.17	1.08	
926	11	0.92		0.77			1.19		
926	11.232	0.88					1.18	1.08	
